sleep_date,HKCategoryValueSleepAnalysisAsleepCore,HKCategoryValueSleepAnalysisAsleepDeep,HKCategoryValueSleepAnalysisAsleepREM,HKCategoryValueSleepAnalysisAsleepUnspecified,HKCategoryValueSleepAnalysisAwake,HKCategoryValueSleepAnalysisInBed,total_sleep,total_sleep_minutes
2022-01-21,0.0,0.0,0.0,0.0,0.0,7.935,0.0,0.0
2022-01-22,0.0,0.0,0.0,0.0,0.0,8.029722222222222,0.0,0.0
2022-01-23,0.0,0.0,0.0,0.0,0.0,8.01361111111111,0.0,0.0
2022-01-24,0.0,0.0,0.0,0.0,0.0,7.528611111111111,0.0,0.0
2022-01-25,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2022-01-26,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2022-01-27,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2022-01-28,0.0,0.0,0.0,0.0,0.0,7.024444444444445,0.0,0.0
2022-01-29,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2022-01-30,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2022-01-31,0.0,0.0,0.0,0.0,0.0,8.038333333333334,0.0,0.0
2022-02-01,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2022-02-02,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2022-02-03,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2022-02-04,0.0,0.0,0.0,0.0,0.0,7.687222222222222,0.0,0.0
2022-02-05,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2022-02-06,0.0,0.0,0.0,0.0,0.0,7.016388888888889,0.0,0.0
2022-02-07,0.0,0.0,0.0,0.0,0.0,7.721388888888889,0.0,0.0
2022-02-08,0.0,0.0,0.0,0.0,0.0,7.690555555555555,0.0,0.0
2022-02-09,0.0,0.0,0.0,0.0,0.0,7.506388888888889,0.0,0.0
2022-02-10,0.0,0.0,0.0,0.0,0.0,7.7652777777777775,0.0,0.0
2022-02-11,0.0,0.0,0.0,0.0,0.0,7.038888888888889,0.0,0.0
2022-02-12,0.0,0.0,0.0,0.0,0.0,7.404444444444445,0.0,0.0
2022-02-13,0.0,0.0,0.0,0.0,0.0,7.791111111111111,0.0,0.0
2022-02-14,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2022-02-15,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2022-02-16,0.0,0.0,0.0,0.0,0.0,8.072222222222223,0.0,0.0
2022-02-17,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2022-02-18,0.0,0.0,0.0,0.0,0.0,7.887222222222222,0.0,0.0
2022-02-19,0.0,0.0,0.0,0.0,0.0,7.981388888888889,0.0,0.0
2022-02-20,0.0,0.0,0.0,0.0,0.0,7.419722222222222,0.0,0.0
2022-02-21,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2022-02-22,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2022-02-23,0.0,0.0,0.0,0.0,0.0,7.343333333333334,0.0,0.0
2022-02-24,0.0,0.0,0.0,0.0,0.0,5.616388888888889,0.0,0.0
2022-02-25,0.0,0.0,0.0,0.0,0.0,7.814722222222223,0.0,0.0
